Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2023 Volvo XC60 B6 Ultimate Bright Theme,"$65,135",9 mi.,Silver,Charcoal,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,YV4062RA5P1296706,2023-04-30 11:36:38.860286,Cars.com
2022 BMW 330 i xDrive,"$44,990","14,884 mi.",Black Sapphire Metallic,Tacora Red,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3MW5R7J07N8C39008,2023-04-30 11:36:41.801223,Cars.com
2019 Mazda CX-5 Touring,"$24,990","35,815 mi.",Jet Black Mica,Black,Front-wheel Drive,Gasoline,Automatic,Regular Unleaded I-4 2.5 L/152,JM3KFACM9K0616575,2023-04-30 11:36:45.474485,Cars.com
2022 Kia Telluride EX,"$48,452","9,591 mi.",Gravity Gray,Gray,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DHC1NG262879,2023-04-30 11:36:48.163308,Cars.com
2020 INFINITI QX50 ESSENTIAL,"$34,990","20,552 mi.",Black Obsidian,Graphite,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5M19LF106051,2023-04-30 11:36:50.873401,Cars.com
2023 Chevrolet Colorado 4WD Trail Boss,"$43,105",0 mi.,Radiant Red Tintcoat,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GCPTEEK5P1139705,2023-04-30 11:36:54.624532,Cars.com
2021 Chevrolet Tahoe LT,"$53,882","65,168 mi.",Midnight Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKNKD0MR248922,2023-04-30 11:36:58.659644,Cars.com
2024 Chevrolet Silverado 3500 LT,"$61,620",0 mi.,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",2GC4YTE74R1105434,2023-04-30 11:37:01.957046,Cars.com
2022 Chevrolet Blazer RS,"$46,797","2,230 mi.",Red Hot,Jet Black,All-wheel Drive,Gasoline,Automatic,"3.6L V-6 gasoline direct injection, DOHC, VVT variable valve con",3GNKBKRS1NS196900,2023-04-30 11:37:05.318209,Cars.com
2022 Kia Telluride SX,"$50,290","6,412 mi.",Glacial White Pearl,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP5DHC2NG270113,2023-04-30 11:37:08.485245,Cars.com
2023 Genesis G70 3.3T,"$56,770",10 mi.,Alta White,Obsidian Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC Twin Turbo,KMTG54TE5PU122470,2023-04-30 11:37:11.405499,Cars.com
2022 Ford Expedition Limited,"$73,019","5,300 mi.",Rapid Red Metallic Tinted Clearcoat,–,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJU2AT3NEA36199,2023-04-30 11:37:20.641637,Cars.com
2023 Nissan Titan Platinum Reserve,"$63,108",0 mi.,Super Black,Black/Brown,Four-wheel Drive,Gasoline,9-Speed Automatic,"Endurance 5.6L V-8 gasoline direct injection, DOHC, variable val",1N6AA1ED9PN105813,2023-04-30 11:37:23.405445,Cars.com
2023 Toyota Camry Hybrid XSE,"$37,382",–,Wind Chill Pearl,Ash,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,4T1K31AKXPU613540,2023-04-30 11:37:26.146156,Cars.com
